Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
bge-large-en-v1.5,84.951,86.487,84.310,85.015,84.270,84.970
ember-v1,85.462,86.824,84.755,85.411,84.709,85.385
UAE-Large-V1,85.358,86.612,84.601,85.300,84.562,85.236
sf_model_e5,84.684,86.464,85.983,86.464,85.951,86.433
gte-large,82.642,84.250,83.402,84.234,83.438,84.279
