Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
bge-large-en-v1.5,83.405,82.778,80.707,81.376,80.651,81.328
ember-v1,84.091,83.057,81.138,81.747,81.089,81.706
UAE-Large-V1,86.720,85.018,84.741,84.611,84.715,84.588
sf_model_e5,86.274,83.854,85.258,83.854,85.249,83.851
gte-large,84.748,82.662,84.481,82.679,84.450,82.633
