Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
bge-large-en-v1.5,87.086,88.031,85.740,86.136,85.744,86.145
ember-v1,87.611,88.386,86.149,86.545,86.148,86.555
UAE-Large-V1,88.405,89.509,87.823,88.442,87.802,88.432
sf_model_e5,87.478,88.473,87.948,88.473,87.936,88.459
gte-large,87.231,88.928,88.138,88.873,88.142,88.886
