Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman,Topsis Score,Rank
bge-large-en-v1.5,87.546,87.498,86.01,84.634,86.138,84.777,64.54,2
ember-v1,88.064,87.903,86.177,84.894,86.327,85.005,71.58,1
UAE-Large-V1,88.945,88.993,88.714,88.341,88.704,88.32,39.83,3
sf_model_e5,88.888,88.704,89.273,88.704,89.415,88.833,32.55,4
gte-large,88.204,88.469,88.825,88.631,88.877,88.829,25.33,5
