Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman,Topsis Score,Rank
bge-large-en-v1.5,84.951,86.487,84.31,85.015,84.27,84.97,77.88,1
ember-v1,85.462,86.824,84.755,85.411,84.709,85.385,76.34,3
UAE-Large-V1,85.358,86.612,84.601,85.3,84.562,85.236,77.35,2
sf_model_e5,84.684,86.464,85.983,86.464,85.951,86.433,54.23,4
gte-large,82.642,84.25,83.402,84.234,83.438,84.279,38.48,5
