Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
bge-large-en-v1.5,85.150 ,86.374 ,83.022 ,83.803,83.017,83.776
ember-v1,85.829,86.620 ,83.564 ,84.218 ,83.555,84.186
UAE-Large-V1,88.679,89.617,86.566 ,87.712 ,86.575,87.719 
sf_model_e5,87.357,87.946 ,87.503,87.946 ,87.476 ,87.902
gte-large,86.241,88.110 ,87.050 ,88.125,86.991,88.078
