Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
bge-large-en-v1.5,86.199,87.516,84.598,85.264,84.597,85.240
ember-v1,86.740,87.769,84.832,85.506,84.831,85.476
UAE-Large-V1,87.437,89.061,87.483,88.074,87.482,88.048
sf_model_e5,87.759,88.331,88.030,88.331,88.030,88.316
gte-large,85.425,86.072,86.127,86.052,86.156,86.089
