Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
bge-large-en-v1.5,86.444,78.510 ,83.362 ,79.473,83.366,79.477
ember-v1,86.732,79.051 ,83.911 ,79.880 ,83.909,79.875
UAE-Large-V1,87.874,79.091,86.427 ,80.031 ,86.413,80.025 
sf_model_e5,85.651,77.608 ,81.815,77.606 ,81.835 ,77.613
gte-large,85.636,76.806,82.464,76.603,82.456,76.579
