Model,cos_sim_pearson,cos_sim_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
bge-large-en-v1.5,84.955,84.654,83.291,84.522,82.995,84.207
ember-v1,86.383,85.810 ,84.280 ,85.803,83.976,85.304
UAE-Large-V1,87.867,86.142,85.990 ,86.482,85.645,86.210 
sf_model_e5,88.824,86.745,86.588,86.745,86.240 ,86.415
gte-large,90.254,88.507,88.149,88.507,87.965,88.212
